iter	RMSE
0	120.7375546
1	115.8504222
2	111.3980262
3	107.0627667
4	102.8718619
5	99.07980149
6	95.480663
7	91.93224716
8	88.48392552
9	85.08935482
10	82.08087809
11	79.21665713
12	76.17812516
13	73.57710364
14	70.95485645
15	68.62831994
16	66.37212655
17	64.16023664
18	61.94921378
19	59.87217423
20	58.102545
21	56.26163
22	54.34431693
23	52.74626978
24	51.03828507
25	49.46378395
26	48.08807322
27	46.72574343
28	45.32293697
29	44.25316284
30	42.98265272
31	41.83683141
32	40.75239817
33	39.63194468
34	38.64854762
35	37.64739014
36	36.7541498
37	35.80860989
38	34.99814263
39	34.24838554
40	33.52744308
41	32.81985616
42	32.24891632
43	31.62972358
44	31.04258618
45	30.43716353
46	29.87764082
47	29.31132848
48	28.82398612
49	28.37194846
50	27.97463457
51	27.54497049
52	27.1363599
53	26.71529929
54	26.33841146
55	25.89711055
56	25.57929539
57	25.27484341
58	25.0197747
59	24.74986638
60	24.44782689
61	24.20631912
62	23.97095231
63	23.73254494
64	23.46400986
65	23.24301146
66	23.01411503
67	22.80147937
68	22.58365182
69	22.38833846
70	22.16916203
71	21.99429795
72	21.80831251
73	21.62863123
74	21.47964327
75	21.31836936
76	21.14690269
77	20.99733758
78	20.83796029
79	20.69837788
80	20.57322654
81	20.43717727
82	20.31207642
83	20.19802948
84	20.03930318
85	19.96592967
86	19.8586753
87	19.72747573
88	19.61637041
89	19.47935735
90	19.365991
91	19.24448
92	19.15468172
93	19.0704497
94	18.9552172
95	18.84662543
96	18.76994958
97	18.67934568
98	18.58937333
99	18.49496615
100	18.42474533
101	18.35150102
102	18.25858824
103	18.16816104
104	18.06685878
105	17.98844762
106	17.92358845
107	17.81391851
108	17.70891797
109	17.65925093
110	17.57186545
111	17.50505835
112	17.43358548
113	17.34219003
114	17.27853426
115	17.1880047
116	17.1264208
117	17.06359274
118	17.02307364
119	16.96169169
120	16.91775583
121	16.87263279
122	16.82642483
123	16.73470558
124	16.69430471
125	16.6234353
126	16.57276243
127	16.50211001
128	16.42598327
129	16.34349738
130	16.27915995
131	16.23399176
132	16.17757477
133	16.12183481
134	16.06567314
135	16.01502942
136	15.97939471
137	15.9047517
138	15.8610966
139	15.82593849
140	15.77561095
141	15.71557977
142	15.65084762
143	15.59882217
144	15.55401288
145	15.4966532
146	15.41885052
147	15.36474312
148	15.31917558
149	15.26431125
150	15.21088565
151	15.15233755
152	15.11239779
153	15.06562444
154	15.00960169
155	14.95813904
156	14.89415214
157	14.852113
158	14.82059414
159	14.78152212
160	14.73949594
161	14.69798583
162	14.65230356
163	14.60657104
164	14.57829556
165	14.5343068
166	14.47886538
167	14.43758205
168	14.38447694
169	14.32699304
170	14.28103419
171	14.22269097
172	14.18620039
173	14.13180238
174	14.0969843
175	14.04196429
176	14.00833286
177	13.96869977
178	13.91770177
179	13.87885778
180	13.84054863
181	13.79885778
182	13.76707703
183	13.72269563
184	13.69065224
185	13.64775744
186	13.60143149
187	13.56852764
188	13.52621042
189	13.48808961
190	13.45495298
191	13.42012799
192	13.37085497
193	13.33096184
194	13.30453064
195	13.26768974
196	13.22215864
197	13.16684266
198	13.12883123
199	13.09831655
200	13.04760649
201	12.99289852
202	12.95232387
203	12.92252495
204	12.89917359
205	12.8730106
206	12.83900289
207	12.80741229
208	12.76824903
209	12.74478034
210	12.7230585
211	12.67093319
212	12.64706357
213	12.61110932
214	12.56376608
215	12.52323813
216	12.49866187
217	12.46587404
218	12.44214755
219	12.40544035
220	12.38768052
221	12.36125268
222	12.34113267
223	12.30816047
224	12.28281381
225	12.24055163
226	12.22038117
227	12.20028863
228	12.16762657
229	12.14587593
230	12.11522712
231	12.08673851
232	12.06844009
233	12.05072646
234	12.02706099
235	12.00445887
236	11.97531038
237	11.93695643
238	11.89568655
239	11.88111574
240	11.86403824
241	11.84827689
242	11.83512617
243	11.80813251
244	11.77251492
245	11.73732622
246	11.71777643
247	11.69582625
248	11.66710687
249	11.65286452
250	11.62366999
251	11.59003248
252	11.55877453
253	11.52590986
254	11.50689436
255	11.47990998
256	11.44849915
257	11.41795218
258	11.40112836
259	11.37513971
260	11.34369624
261	11.33440295
262	11.31627982
263	11.30214761
264	11.27303122
265	11.26311805
266	11.24008274
267	11.22287111
268	11.19049791
269	11.16472134
270	11.13196329
271	11.09759456
272	11.08003899
273	11.0643866
274	11.04142705
275	11.02886237
276	11.01206857
277	10.98104986
278	10.95421011
279	10.91624906
280	10.8889361
281	10.86269403
282	10.84803338
283	10.82648675
284	10.80292192
285	10.78547649
286	10.75496974
287	10.73729736
288	10.71664384
289	10.69121218
290	10.68066258
291	10.66497952
292	10.64217091
293	10.61973496
294	10.5989114
295	10.58127884
296	10.56232384
297	10.5356841
298	10.51427099
299	10.50104083
300	10.47817448
301	10.45097948
302	10.43027758
303	10.42238206
304	10.40108487
305	10.38246096
306	10.35196597
307	10.31911396
308	10.31007077
309	10.27920723
310	10.25806476
311	10.23984376
312	10.22989478
313	10.21760259
314	10.21197059
315	10.20291121
316	10.18668199
317	10.18245075
318	10.16741279
319	10.15890037
320	10.14043667
321	10.11690071
322	10.11081055
323	10.09658707
324	10.08042704
325	10.06110964
326	10.04111455
327	10.03736519
328	10.02044955
329	10.00446568
330	9.985732865
331	9.975540491
332	9.960548606
333	9.951079427
334	9.941996192
335	9.92411336
336	9.919090264
337	9.901511754
338	9.887184357
339	9.86690648
340	9.848074454
341	9.830192003
342	9.823675266
343	9.811073234
344	9.793962775
345	9.779025401
346	9.764033175
347	9.752260356
348	9.739669648
349	9.717994542
350	9.705589653
351	9.693077388
352	9.67683191
353	9.672133579
354	9.65806665
355	9.629070435
356	9.622707682
357	9.607781058
358	9.585649653
359	9.569744273
360	9.552476567
361	9.539261969
362	9.526859298
363	9.513070178
364	9.499191756
365	9.482257334
366	9.471030759
367	9.453654657
368	9.439248602
369	9.413718679
370	9.407427697
371	9.402155413
372	9.387457625
373	9.368411312
374	9.358330389
375	9.34020074
376	9.336213935
377	9.308636791
378	9.298525675
379	9.276322492
380	9.259410197
381	9.248947657
382	9.21962928
383	9.20167466
384	9.187476632
385	9.172599266
386	9.151019887
387	9.138872675
388	9.125652848
389	9.106592611
390	9.083485489
391	9.078519499
392	9.063062198
393	9.042965653
394	9.023390094
395	9.012531272
396	8.993452927
397	8.978091483
398	8.95764204
399	8.952495655
400	8.932163594
401	8.909619916
402	8.892463942
403	8.881221223
404	8.86297563
405	8.837569781
406	8.821918796
407	8.801300622
408	8.785282832
409	8.761689127
410	8.743013845
411	8.729721028
412	8.715767045
413	8.698325708
414	8.680564141
415	8.673302269
416	8.655396601
417	8.637091361
418	8.6202765
419	8.603072338
420	8.590617761
421	8.579190581
422	8.564428279
423	8.544193743
424	8.525333672
425	8.513470673
426	8.504622058
427	8.4845607
428	8.467331589
429	8.463617305
430	8.449248357
431	8.436502246
432	8.425710802
433	8.411787425
434	8.40037867
435	8.38078045
436	8.367061873
437	8.358845546
438	8.350524848
439	8.337227625
440	8.324510873
441	8.312780979
442	8.29914046
443	8.2801476
444	8.273092499
445	8.260195853
446	8.2447213
447	8.239306567
448	8.226229374
449	8.222357155
450	8.212437115
451	8.199519206
452	8.18898287
453	8.173789673
454	8.15885649
455	8.149581913
456	8.138507722
457	8.125122487
458	8.118763852
459	8.10781087
460	8.091615384
461	8.08273212
462	8.066381414
463	8.053785957
464	8.042561691
465	8.029015099
466	8.014149358
467	8.000259986
468	7.986502669
469	7.972190865
470	7.960993145
471	7.946862702
472	7.933824718
473	7.922930738
474	7.913161923
475	7.904099349
476	7.893247679
477	7.881945089
478	7.866979165
479	7.853320865
480	7.838326062
481	7.825132188
482	7.820058383
483	7.807329261
484	7.799216456
485	7.78538593
486	7.778130959
487	7.76780699
488	7.756169219
489	7.748383812
490	7.740728538
491	7.724561398
492	7.711690243
493	7.698206469
494	7.686009338
495	7.678177057
496	7.668511101
497	7.659351894
498	7.649868959
499	7.642130123
