iter	Passed	Remaining
0	5	2926
1	10	2703
2	15	2646
3	22	2751
4	27	2700
5	32	2652
6	37	2627
7	42	2590
8	47	2577
9	52	2569
10	57	2556
11	62	2541
12	67	2533
13	72	2522
14	77	2511
15	82	2498
16	87	2489
17	92	2474
18	97	2467
19	102	2466
20	107	2453
21	112	2450
22	117	2444
23	123	2442
24	128	2437
25	133	2428
26	138	2424
27	145	2447
28	150	2447
29	156	2445
30	161	2442
31	166	2438
32	172	2436
33	177	2429
34	182	2427
35	187	2419
36	192	2412
37	197	2405
38	204	2411
39	209	2403
40	214	2396
41	219	2395
42	225	2392
43	230	2391
44	237	2397
45	243	2405
46	251	2423
47	258	2438
48	268	2469
49	275	2476
50	283	2493
51	290	2500
52	298	2517
53	306	2535
54	314	2546
55	322	2559
56	330	2570
57	343	2617
58	359	2686
59	372	2731
60	389	2799
61	404	2857
62	419	2906
63	427	2909
64	435	2912
65	453	2978
66	460	2975
67	467	2968
68	472	2953
69	479	2944
70	487	2942
71	493	2932
72	501	2931
73	506	2918
74	514	2915
75	520	2904
76	527	2895
77	533	2887
78	539	2876
79	547	2876
80	557	2884
81	568	2897
82	576	2896
83	586	2903
84	595	2908
85	604	2912
86	614	2917
87	627	2936
88	636	2941
89	644	2935
90	651	2928
91	658	2920
92	665	2914
93	672	2904
94	680	2899
95	687	2891
96	694	2883
97	700	2873
98	706	2863
99	714	2856
100	720	2847
101	727	2837
102	732	2824
103	738	2812
104	745	2803
105	751	2794
106	758	2786
107	763	2772
108	769	2761
109	776	2753
110	782	2740
111	788	2730
112	794	2719
113	799	2708
114	805	2696
115	810	2683
116	817	2675
117	826	2675
118	831	2663
119	837	2651
120	842	2638
121	852	2641
122	857	2628
123	864	2620
124	869	2608
125	874	2596
126	880	2587
127	886	2575
128	891	2564
129	898	2556
130	903	2545
131	909	2534
132	914	2523
133	920	2512
134	926	2505
135	931	2493
136	936	2482
137	943	2474
138	948	2464
139	954	2453
140	960	2445
141	966	2436
142	972	2426
143	978	2419
144	984	2410
145	991	2403
146	996	2393
147	1002	2383
148	1007	2374
149	1013	2364
150	1019	2356
151	1025	2348
152	1031	2338
153	1036	2327
154	1043	2322
155	1048	2313
156	1055	2305
157	1060	2295
158	1065	2285
159	1071	2276
160	1076	2267
161	1081	2257
162	1087	2248
163	1093	2239
164	1098	2230
165	1104	2221
166	1109	2211
167	1114	2202
168	1119	2192
169	1125	2183
170	1130	2174
171	1135	2165
172	1140	2156
173	1145	2146
174	1150	2136
175	1157	2130
176	1162	2121
177	1168	2114
178	1174	2105
179	1179	2096
180	1185	2089
181	1191	2081
182	1196	2072
183	1202	2065
184	1208	2057
185	1214	2050
186	1220	2043
187	1226	2034
188	1231	2026
189	1237	2018
190	1242	2010
191	1248	2002
192	1254	1995
193	1260	1987
194	1265	1979
195	1270	1971
196	1276	1962
197	1281	1954
198	1287	1946
199	1292	1938
200	1297	1930
201	1303	1923
202	1308	1914
203	1313	1906
204	1319	1898
205	1324	1890
206	1329	1882
207	1335	1874
208	1340	1866
209	1345	1858
210	1351	1850
211	1356	1843
212	1361	1834
213	1367	1827
214	1372	1819
215	1378	1811
216	1383	1804
217	1389	1797
218	1394	1789
219	1400	1782
220	1405	1774
221	1410	1766
222	1416	1760
223	1421	1751
224	1427	1744
225	1432	1737
226	1437	1729
227	1443	1721
228	1448	1714
229	1453	1706
230	1458	1698
231	1464	1691
232	1469	1683
233	1474	1676
234	1480	1669
235	1485	1661
236	1491	1655
237	1496	1647
238	1502	1640
239	1507	1632
240	1512	1625
241	1518	1619
242	1524	1612
243	1530	1605
244	1536	1599
245	1542	1592
246	1548	1585
247	1553	1578
248	1560	1573
249	1566	1566
250	1571	1559
251	1577	1552
252	1582	1545
253	1587	1537
254	1593	1531
255	1598	1523
256	1603	1516
257	1611	1511
258	1617	1505
259	1623	1498
260	1629	1492
261	1634	1485
262	1641	1478
263	1646	1472
264	1652	1465
265	1658	1458
266	1664	1452
267	1670	1446
268	1678	1441
269	1684	1434
270	1690	1428
271	1696	1422
272	1702	1415
273	1708	1409
274	1713	1402
275	1720	1396
276	1727	1390
277	1734	1384
278	1741	1379
279	1750	1375
280	1758	1370
281	1765	1365
282	1773	1359
283	1781	1354
284	1788	1349
285	1799	1346
286	1807	1341
287	1816	1336
288	1823	1331
289	1830	1325
290	1838	1320
291	1845	1314
292	1852	1308
293	1860	1303
294	1867	1297
295	1875	1292
296	1890	1292
297	1897	1286
298	1904	1279
299	1911	1274
300	1916	1267
301	1924	1261
302	1931	1255
303	1940	1250
304	1947	1245
305	1953	1238
306	1959	1231
307	1964	1224
308	1970	1217
309	1975	1210
310	1981	1204
311	1987	1197
312	1992	1190
313	1997	1183
314	2005	1177
315	2011	1170
316	2016	1164
317	2022	1157
318	2027	1150
319	2033	1143
320	2038	1136
321	2043	1129
322	2049	1123
323	2055	1116
324	2060	1109
325	2066	1103
326	2071	1096
327	2077	1089
328	2082	1082
329	2088	1075
330	2093	1069
331	2099	1062
332	2105	1055
333	2110	1048
334	2116	1042
335	2122	1035
336	2127	1029
337	2133	1022
338	2139	1016
339	2144	1009
340	2151	1003
341	2158	997
342	2165	991
343	2172	985
344	2180	979
345	2186	973
346	2194	967
347	2199	960
348	2205	954
349	2214	948
350	2219	942
351	2226	936
352	2234	930
353	2240	924
354	2246	917
355	2252	910
356	2258	904
357	2264	898
358	2270	891
359	2275	885
360	2281	878
361	2287	871
362	2292	865
363	2297	858
364	2303	851
365	2308	845
366	2314	838
367	2319	831
368	2325	825
369	2330	818
370	2335	812
371	2341	805
372	2346	799
373	2352	792
374	2358	786
375	2363	779
376	2368	772
377	2374	766
378	2379	759
379	2384	753
380	2390	746
381	2395	740
382	2401	733
383	2407	727
384	2414	721
385	2420	714
386	2425	708
387	2431	701
388	2437	695
389	2442	688
390	2447	682
391	2455	676
392	2461	670
393	2466	663
394	2472	657
395	2477	650
396	2482	644
397	2488	637
398	2493	631
399	2498	624
400	2505	618
401	2511	612
402	2517	606
403	2524	599
404	2530	593
405	2538	587
406	2543	581
407	2551	575
408	2556	568
409	2563	562
410	2571	556
411	2576	550
412	2584	544
413	2590	538
414	2596	531
415	2603	525
416	2609	519
417	2616	513
418	2623	507
419	2630	501
420	2636	494
421	2642	488
422	2648	482
423	2654	475
424	2659	469
425	2665	463
426	2671	456
427	2676	450
428	2682	443
429	2687	437
430	2693	431
431	2699	424
432	2704	418
433	2712	412
434	2718	406
435	2724	399
436	2731	393
437	2740	387
438	2748	381
439	2756	375
440	2766	370
441	2774	364
442	2785	358
443	2794	352
444	2805	346
445	2817	341
446	2827	335
447	2836	329
448	2846	323
449	2854	317
450	2863	311
451	2871	304
452	2880	298
453	2888	292
454	2897	286
455	2907	280
456	2914	274
457	2921	267
458	2929	261
459	2935	255
460	2947	249
461	2955	243
462	2964	236
463	2973	230
464	2983	224
465	2993	218
466	3003	212
467	3011	205
468	3019	199
469	3027	193
470	3034	186
471	3042	180
472	3051	174
473	3062	167
474	3071	161
475	3082	155
476	3092	149
477	3098	142
478	3110	136
479	3118	129
480	3126	123
481	3135	117
482	3143	110
483	3153	104
484	3159	97
485	3166	91
486	3172	84
487	3178	78
488	3184	71
489	3189	65
490	3195	58
491	3202	52
492	3208	45
493	3214	39
494	3220	32
495	3225	26
496	3231	19
497	3237	13
498	3242	6
499	3249	0
