iter	Passed	Remaining
0	5	2589
1	9	2291
2	14	2472
3	19	2405
4	23	2297
5	27	2231
6	32	2259
7	36	2237
8	40	2205
9	45	2224
10	49	2206
11	54	2199
12	58	2190
13	63	2211
14	67	2193
15	72	2184
16	78	2230
17	83	2223
18	88	2241
19	95	2285
20	99	2277
21	104	2270
22	110	2292
23	115	2283
24	119	2272
25	124	2268
26	130	2287
27	135	2287
28	140	2282
29	146	2293
30	152	2300
31	157	2308
32	162	2304
33	167	2301
34	173	2299
35	178	2305
36	185	2316
37	191	2331
38	197	2335
39	203	2336
40	209	2350
41	214	2343
42	220	2341
43	226	2351
44	232	2354
45	237	2348
46	243	2351
47	248	2340
48	253	2330
49	259	2332
50	263	2323
51	268	2311
52	274	2313
53	278	2303
54	283	2293
55	289	2292
56	293	2282
57	298	2272
58	303	2268
59	308	2261
60	312	2251
61	317	2241
62	323	2240
63	327	2231
64	332	2222
65	337	2220
66	342	2212
67	346	2204
68	351	2197
69	356	2190
70	361	2182
71	365	2173
72	371	2171
73	375	2162
74	380	2154
75	385	2152
76	390	2145
77	395	2140
78	400	2135
79	405	2129
80	410	2125
81	415	2120
82	421	2117
83	426	2110
84	430	2103
85	436	2103
86	441	2097
87	446	2090
88	453	2092
89	458	2086
90	463	2083
91	469	2083
92	474	2077
93	479	2071
94	485	2071
95	490	2063
96	495	2058
97	501	2057
98	506	2049
99	510	2042
100	516	2040
101	521	2033
102	525	2026
103	531	2023
104	536	2016
105	540	2009
106	545	2004
107	550	1999
108	555	1991
109	560	1985
110	566	1983
111	570	1977
112	575	1970
113	580	1966
114	585	1960
115	590	1953
116	595	1949
117	600	1942
118	604	1935
119	608	1928
120	614	1923
121	618	1917
122	623	1912
123	629	1908
124	633	1901
125	638	1894
126	642	1888
127	647	1883
128	652	1876
129	657	1869
130	662	1866
131	667	1860
132	671	1853
133	676	1848
134	681	1842
135	685	1835
136	690	1828
137	695	1825
138	700	1818
139	704	1812
140	710	1808
141	715	1804
142	720	1798
143	725	1793
144	730	1788
145	735	1782
146	739	1776
147	745	1772
148	749	1766
149	754	1759
150	759	1755
151	763	1748
152	768	1742
153	773	1737
154	778	1732
155	782	1726
156	787	1719
157	793	1716
158	797	1709
159	801	1703
160	807	1700
161	812	1694
162	816	1688
163	824	1690
164	829	1684
165	834	1679
166	841	1677
167	846	1672
168	851	1667
169	858	1665
170	863	1661
171	868	1657
172	875	1654
173	880	1650
174	886	1646
175	892	1642
176	899	1640
177	907	1642
178	916	1643
179	925	1644
180	934	1646
181	941	1645
182	947	1641
183	956	1642
184	969	1650
185	976	1647
186	981	1642
187	990	1643
188	995	1638
189	1001	1634
190	1006	1628
191	1011	1622
192	1016	1616
193	1021	1611
194	1026	1604
195	1030	1598
196	1036	1594
197	1041	1589
198	1046	1583
199	1052	1578
200	1057	1572
201	1061	1566
202	1067	1561
203	1071	1555
204	1076	1549
205	1081	1544
206	1086	1538
207	1091	1532
208	1096	1526
209	1101	1521
210	1106	1515
211	1110	1509
212	1116	1504
213	1121	1498
214	1125	1492
215	1130	1486
216	1135	1481
217	1139	1474
218	1144	1468
219	1149	1463
220	1154	1457
221	1158	1451
222	1164	1446
223	1168	1440
224	1173	1433
225	1178	1428
226	1182	1422
227	1187	1416
228	1192	1410
229	1197	1405
230	1202	1399
231	1206	1393
232	1211	1388
233	1216	1382
234	1220	1376
235	1225	1370
236	1231	1366
237	1235	1360
238	1240	1354
239	1246	1350
240	1251	1345
241	1256	1339
242	1262	1335
243	1268	1330
244	1273	1325
245	1280	1321
246	1285	1316
247	1290	1311
248	1297	1307
249	1302	1302
250	1308	1298
251	1315	1294
252	1321	1289
253	1328	1287
254	1334	1282
255	1341	1278
256	1345	1272
257	1351	1267
258	1358	1263
259	1364	1259
260	1371	1255
261	1375	1249
262	1380	1243
263	1385	1238
264	1390	1233
265	1395	1227
266	1399	1221
267	1405	1217
268	1410	1211
269	1415	1206
270	1421	1201
271	1426	1195
272	1431	1189
273	1436	1184
274	1441	1179
275	1445	1173
276	1451	1168
277	1455	1162
278	1460	1156
279	1464	1150
280	1470	1145
281	1474	1140
282	1479	1134
283	1485	1129
284	1489	1123
285	1494	1118
286	1499	1112
287	1504	1107
288	1509	1101
289	1513	1096
290	1519	1091
291	1524	1085
292	1528	1080
293	1534	1075
294	1539	1069
295	1544	1064
296	1549	1059
297	1554	1053
298	1559	1048
299	1564	1042
300	1569	1037
301	1573	1031
302	1578	1026
303	1584	1021
304	1588	1015
305	1593	1009
306	1598	1005
307	1603	999
308	1607	993
309	1613	988
310	1617	983
311	1622	977
312	1626	971
313	1632	967
314	1637	961
315	1641	955
316	1646	950
317	1651	945
318	1655	939
319	1660	934
320	1665	928
321	1670	923
322	1674	917
323	1680	912
324	1684	907
325	1689	901
326	1695	896
327	1699	891
328	1704	885
329	1709	880
330	1714	875
331	1718	869
332	1723	864
333	1728	859
334	1733	853
335	1737	848
336	1743	843
337	1748	837
338	1752	832
339	1757	827
340	1763	822
341	1767	816
342	1772	811
343	1777	806
344	1782	800
345	1787	795
346	1792	790
347	1802	787
348	1807	782
349	1812	776
350	1817	771
351	1821	765
352	1827	760
353	1831	755
354	1835	749
355	1841	744
356	1845	739
357	1850	734
358	1855	728
359	1860	723
360	1864	718
361	1869	712
362	1874	707
363	1879	702
364	1883	696
365	1889	691
366	1893	686
367	1898	680
368	1902	675
369	1908	670
370	1912	665
371	1917	659
372	1922	654
373	1926	649
374	1931	643
375	1936	638
376	1941	633
377	1945	627
378	1949	622
379	1955	617
380	1960	612
381	1965	607
382	1972	602
383	1977	597
384	1982	592
385	1988	587
386	1994	582
387	1998	576
388	2005	572
389	2010	567
390	2016	562
391	2022	557
392	2027	551
393	2033	546
394	2038	541
395	2043	536
396	2049	531
397	2055	526
398	2060	521
399	2065	516
400	2071	511
401	2076	506
402	2083	501
403	2089	496
404	2094	491
405	2101	486
406	2107	481
407	2112	476
408	2119	471
409	2125	466
410	2132	461
411	2136	456
412	2141	451
413	2146	445
414	2151	440
415	2155	435
416	2160	430
417	2165	424
418	2170	419
419	2174	414
420	2180	409
421	2185	403
422	2190	398
423	2195	393
424	2200	388
425	2205	383
426	2209	377
427	2215	372
428	2219	367
429	2224	362
430	2229	356
431	2234	351
432	2239	346
433	2245	341
434	2249	336
435	2254	330
436	2260	325
437	2264	320
438	2269	315
439	2274	310
440	2279	304
441	2284	299
442	2289	294
443	2294	289
444	2299	284
445	2303	278
446	2308	273
447	2313	268
448	2317	263
449	2322	258
450	2327	252
451	2332	247
452	2337	242
453	2342	237
454	2347	232
455	2351	226
456	2356	221
457	2361	216
458	2366	211
459	2370	206
460	2377	201
461	2381	195
462	2386	190
463	2392	185
464	2397	180
465	2401	175
466	2408	170
467	2413	165
468	2419	159
469	2425	154
470	2430	149
471	2435	144
472	2442	139
473	2448	134
474	2453	129
475	2459	124
476	2465	118
477	2472	113
478	2478	108
479	2483	103
480	2490	98
481	2496	93
482	2501	88
483	2508	82
484	2514	77
485	2522	72
486	2528	67
487	2535	62
488	2541	57
489	2546	51
490	2553	46
491	2558	41
492	2563	36
493	2568	31
494	2574	26
495	2580	20
496	2587	15
497	2593	10
498	2598	5
499	2605	0
